Designator,Mid X,Mid Y,Rotation,Layer
S46,35.02495,-100.17125,0.0,top
S47,56.45625,-100.17125,0.0,top
S48,75.50625,-100.17125,0.0,top
S49,94.55625,-100.17125,0.0,top
S5,132.65625,-38.25875,0.0,top
S50,113.60625,-100.17125,0.0,top
S51,132.65625,-100.17125,0.0,top
S52,151.70625,-100.17125,0.0,top
S53,170.75625,-100.17125,0.0,top
S54,189.80625,-100.17125,0.0,top
S55,208.85625,-100.17125,0.0,top
S56,227.90625,-100.17125,0.0,top
S57,246.95625,-100.17125,0.0,top
S58,266.00625,-100.17125,0.0,top
S59,292.19995,-100.17125,0.0,top
S6,151.70625,-38.25875,0.0,top
S60,332.68125,-100.17125,0.0,top
S61,35.02495,-119.22125,0.0,top
S62,56.45625,-119.22125,0.0,top
S63,75.50625,-119.22125,0.0,top
S64,94.55625,-119.22125,0.0,top
S65,113.60625,-119.22125,0.0,top
S66,132.65625,-119.22125,0.0,top
S67,151.70625,-119.22125,0.0,top
S68,170.75625,-119.22125,0.0,top
S69,189.80625,-119.22125,0.0,top
S7,170.75625,-38.25875,0.0,top
S70,208.85625,-119.22125,0.0,top
S71,227.90625,-119.22125,0.0,top
S72,246.95625,-119.22125,0.0,top
S73,275.53125,-119.22125,0.0,top
S74,308.55125,-123.98375,0.0,top
S75,332.36375,-119.22125,0.0,top
S76,35.02495,-138.27125,0.0,top
S77,56.45625,-138.27125,0.0,top
S78,75.50625,-138.27125,0.0,top
S79,94.55625,-138.27125,0.0,top
S8,189.80625,-38.25875,0.0,top
S80,161.23125,-138.27125,0.0,top
S81,227.90625,-138.27125,0.0,top
S82,246.95625,-138.27125,0.0,top
S83,266.00625,-138.27125,0.0,top
S84,289.50125,-143.03375,0.0,top
S85,308.55125,-143.03375,0.0,top
S86,327.60125,-143.03375,0.0,top
S9,208.85625,-38.25875,0.0,top
